restaurant_id,region,name,category,cuisine_type,address_road,lat,lng,distance_m_from_hub,price_per_person,has_private_room,group_seating_max,parking_available,rating,review_count,phone,place_url,closed_days
1,판교,하남돼지집 판교직영점,한식 > 육류/고기,한식,경기 성남시 분당구 판교역로 192번길 14,37.3975,127.1125,350,22000,False,40,True,4.5,320,031-8017-8292,https://map.kakao.com/link/search/%ED%95%98%EB%82%A8%EB%8F%BC%EC%A7%80%EC%A7%91%20%ED%8C%90%EA%B5%90%EC%A7%81%EC%98%81%EC%A0%90,""
2,판교,창고43 판교점,한식 > 소고기구이,한식,경기 성남시 분당구 분당내곡로 117 그레이츠판교 2층,37.3962,127.1118,180,65000,True,30,True,4.7,210,031-622-7588,https://map.kakao.com/link/search/%EC%B0%BD%EA%B3%A043%20%ED%8C%90%EA%B5%90%EC%A0%90,"일"
3,판교,우에노 판교점,일식 > 이자카야,일식,경기 성남시 분당구 판교역로 240 삼환하이펙스 A동,37.4018,127.1095,850,35000,True,20,True,4.4,145,031-698-3450,https://map.kakao.com/link/search/%EC%9A%B0%EC%97%90%EB%85%B8%20%ED%8C%90%EA%B5%90%EC%A0%90,"일"
4,판교,JS가든 판교점,중식 > 중식당,중식,경기 성남시 분당구 판교역로146번길 20 현대백화점 9층,37.3927,127.1121,240,45000,True,24,True,4.3,180,031-5170-1957,https://map.kakao.com/link/search/JS%EA%B0%80%EB%93%A0%20%ED%8C%90%EA%B5%90%EC%A0%90,""
5,판교,붓처스컷 판교점,양식 > 스테이크,양식,경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 2층,37.3998,127.1132,600,55000,True,16,True,4.6,290,031-707-7037,https://map.kakao.com/link/search/%EB%B6%93%EC%B2%98%EC%8A%A4%EC%BB%B7%20%ED%8C%90%EA%B5%90%EC%A0%90,""
6,판교,육전식당 판교점,한식 > 육류/고기,한식,경기 성남시 분당구 대왕판교로 660 유스페이스1 2층,37.4012,127.1082,780,24000,False,50,True,4.6,410,031-724-2799,https://map.kakao.com/link/search/%EC%9C%A1%EC%A0%84%EC%8B%9D%EB%8B%B9%20%ED%8C%90%EA%B5%90%EC%A0%90,"일"
7,판교,긴자 판교점,일식 > 일식당,일식,경기 성남시 분당구 판교백현로 57,37.3872,127.1135,920,58000,True,35,True,4.5,230,031-705-6606,https://map.kakao.com/link/search/%EA%B8%B4%EC%9E%90%20%ED%8C%90%EA%B5%90%EC%A0%90,""
8,판교,매드포갈릭 판교점,양식 > 이탈리안,양식,경기 성남시 분당구 판교역로 145 알파리움타워 2동 B1,37.3951,127.1105,120,32000,True,18,True,4.2,160,031-701-0520,https://map.kakao.com/link/search/%EB%A7%A4%EB%93%9C%ED%8F%AC%EA%B0%88%EB%A6%AD%20%ED%8C%90%EA%B5%90,""
9,판교,몽중헌 판교점,중식 > 딤섬/중식당,중식,경기 성남시 분당구 판교역로 152 테크원타워 2층,37.3965,127.1108,200,48000,True,28,True,4.6,350,031-601-7575,https://map.kakao.com/link/search/%EB%AA%BD%EC%84%A0%ED%97%8C%20%ED%8C%90%EA%B5%90%EC%A0%90,""
10,판교,교대이층집 판교점,한식 > 삼겹살,한식,경기 성남시 분당구 판교역로 192번길 14 2층,37.3976,127.1124,360,21000,False,60,True,4.4,280,031-607-7113,https://map.kakao.com/link/search/%EA%B5%90%EB%8C%80%EC%9D%B4%EC%B8%B5%EC%A7%91%20%ED%8C%90%EA%B5%90%EC%A0%90,""
11,강남,창고43 역삼점,한식 > 소고기구이,한식,서울 강남구 테헤란로 134 포스코타워 역삼 B1,37.4995,127.0342,210,68000,True,40,True,4.7,450,02-508-0043,https://map.kakao.com/link/search/%EC%B0%BD%EA%B3%A043%20%EC%97%AD%EC%82%BC%EC%A0%90,"일"
12,강남,삼다연 강남점,한식 > 흑돼지/오겹살,한식,서울 강남구 강남대로 358 타워82 B1,37.4952,127.0298,320,26000,True,30,True,4.5,310,02-552-9283,https://map.kakao.com/link/search/%EC%82%BC%EB%8B%A4%EC%97%B0%20%EA%B0%95%EB%82%A8,"일"
13,강남,모찌방 이자카야 역삼,일식 > 이자카야/야키토리,일식,서울 강남구 테헤란로19길 23,37.5021,127.0325,450,38000,True,18,False,4.6,180,02-567-3321,https://map.kakao.com/link/search/%EB%AA%A8%EC% topography%20%EC%97%AD%EC%82%BC,"일"
14,강남,루위(RUWEI) 신사본점,중식 > 고급중식당,중식,서울 강남구 도산대로 211,37.5185,127.0292,850,55000,True,32,True,4.7,290,02-3446-2126,https://map.kakao.com/link/search/%EB%A3%A8%EC%9C%84%20%EC%8B%A0%EC%82%AC,""
15,강남,울프강 스테이크하우스 청담,양식 > 스테이크/파인다이닝,양식,서울 강남구 선릉로152길 21,37.5255,127.0425,1200,120000,True,20,True,4.6,580,02-556-8700,https://map.kakao.com/link/search/%EC%9A%B8%ED%94%84%EA%B0%95%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4,""
16,여의도,민소한우 여의도본점,한식 > 안심/등심한우,한식,서울 영등포구 의사당대로 143 금융투자협회 B1,37.5222,126.9275,250,62000,True,35,True,4.6,390,02-780-3365,https://map.kakao.com/link/search/%EB%AF%BC%EC%86%8C%ED%95%9C%EC%9A%B0%20%EC%97%AC%EC%9D%98%EB%8F%84,"일"
17,여의도,도원스타일 여의도점,중식 > 중식당,중식,서울 영등포구 여의대로 108 더현대서울 6층,37.5258,126.9284,400,48000,True,25,True,4.5,240,02-3277-0690,https://map.kakao.com/link/search/%EB%8F%84%EC%9B%90%EC%8A%A4%ED%83%80%EC%9D%BC%20%EB%8D%94%ED%98%84%EB%8C%80,""
18,여의도,삿포로 여의도점,일식 > 정통일식코스,일식,서울 영등포구 국제금융로2길 24 삼성생명 여의도빌딩 B1,37.5235,126.9248,180,55000,True,40,True,4.4,190,02-783-6776,https://map.kakao.com/link/search/%EC%82%BF%ED%8F%AC%EB%A1%9C%20%EC%97%AC%EC%9D%98%EB%8F%84,""
19,여의도,세상의모든아침 여의도점,양식 > 브런치/이탈리안,양식,서울 영등포구 여의대로 24 전경련회관 50층,37.5202,126.9195,500,45000,True,24,True,4.3,620,02-2055-4442,https://map.kakao.com/link/search/%EC%84%B8%EC%83%81%EC%9D%98%EB%AA%A8%EB%93%A0%EC%95%84%EC%B9%A8%20%EC%97%AC%EC%9D%98%EB%8F%84,""
20,을지로,우래옥 본점,한식 > 평양냉면/불고기,한식,서울 중구 창경궁로 62-29,37.5682,126.9985,450,38000,False,30,True,4.6,850,02-2265-0151,https://map.kakao.com/link/search/%EC%9A%B0%EB%9E%98%EC%98%A5%20%EB%B3%B8%EC%A0%90,"월"
21,을지로,몽중헌 페럼타워점,중식 > 딤섬/중식당,중식,서울 중구 을지로5길 19 페럼타워 B2,37.5668,126.9842,120,49000,True,30,True,4.6,380,02-6353-8585,https://map.kakao.com/link/search/%EB%AA%BD%EC%84%A0%ED%97%8C%20%ED%8E%98%EB%9F%BC%ED%83%80%EC%9B%8C,""
22,을지로,동원집 을지로,한식 > 감자국/순대,한식,서울 중구 퇴계로27길 48,37.5645,126.9928,380,18000,False,25,False,4.4,490,02-2265-6450,https://map.kakao.com/link/search/%EB%8F%99%EC%9B%90%EC%A7%91%20%EC%9D%84%EC%A7%80%EB%A1%9C,"일"
23,성수,대성갈비 성수,한식 > 돼지갈비/삼겹살,한식,서울 성동구 서울숲4길 27,37.5462,127.0425,600,22000,False,35,False,4.5,520,02-464-3012,https://map.kakao.com/link/search/%EB%8C%80%EC%84%B1%EA%B0%88%EB%B9%84%20%EC%84%B1%EC%88%98,"일"
24,성수,쿠나(KUNA) 성수,양식 > 이탈리안뇨끼,양식,서울 성동구 연무장5길 9-16,37.5432,127.0545,200,32000,False,12,False,4.6,310,02-468-2019,https://map.kakao.com/link/search/%EC%BF%A0%EB%82%98%20%EC%84%B1%EC%88%98,"월,화"
25,성수,이치에 성수,일식 > 이자카야/사시미,일식,서울 성동구 성수이로 118,37.5458,127.0572,250,45000,True,16,True,4.7,280,02-461-8822,https://map.kakao.com/link/search/%EC%9D%B4%EC%B9%98%EC%97%90%20%EC%84%B1%EC%88%98,"일"
26,마곡,마곡 우미관,한식 > 한우투뿔구이,한식,서울 강서구 마곡중앙6로 45 리더스퀘어마곡 2층,37.5592,126.8315,300,58000,True,24,True,4.6,210,02-3663-8822,https://map.kakao.com/link/search/%EB%A7%88%EA%B3%A1%20%EC%9A%B0%EB%AF%B8%EA%B4%80,"일"
27,마곡,도쿄등심 마곡점,일식 > 한우오마카세/일식,일식,서울 강서구 공항대로 247 퀸즈파크나인 C동 2층,37.5585,126.8342,400,69000,True,20,True,4.7,340,02-6956-0324,https://map.kakao.com/link/search/%EB%8F%84%EC% vitality%20%EB%A7%88%EA%B3%A1,""
28,가산,월화식당 가산디지털점,한식 > 듀록삼겹살/솥뚜껑,한식,서울 금천구 가산디지털1로 186 제이플라츠 B1,37.4805,126.8818,150,21000,False,45,True,4.5,270,02-868-8833,https://map.kakao.com/link/search/%EC%9B%94%ED%99%94%EC%8B%9D%EB%8B%B9%20%EA%B0%80%EC%82%B0,""
29,송도,경복궁 송도한옥마을점,한식 > 갈비코스/한정식,한식,인천 연수구 테크노파크로 180 송도한옥마을 1층,37.3892,126.6378,800,65000,True,40,True,4.6,480,032-834-2345,https://map.kakao.com/link/search/%EA%B2%BD%EB%B3%B5%EA%B6%81%20%EC%86%A1%EB%8F%84%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84,""
30,부산,맛찬들왕소금구이 서면점,한식 > 숙성삼겹살/목살,한식,부산 부산진구 중앙대로691번가길 24-3,37.1565,129.0578,200,23000,False,50,True,4.7,640,051-808-6088,https://map.kakao.com/link/search/%EB%A7%9B%EC%B0%AC%EB%93%A4%20%EC%84%9C%EB%A9%B4,""
31,부산,밍주(MINGZOO) 해운대점,중식 > 모던차이니즈,중식,부산 해운대구 센텀남대로 35 신세계백화점 센텀시티 9층,35.1685,129.1298,350,42000,True,20,True,4.4,220,051-745-1988,https://map.kakao.com/link/search/%EB%B0%8D%EC%A3%BC%20%EC%84%BC%ED%85%80,""
32,부산,어부의잔치 서면,일식 > 고등어회/숙성사시미,일식,부산 부산진구 동천로 95번길 11,35.1582,129.0625,400,45000,True,16,False,4.6,190,051-804-1237,https://map.kakao.com/link/search/%EC%96%B4%EB%B6%80%EC%9D%98%EC%9E%94%EC%B9%98%20%EC%84%9C%EB%A9%B4,"일"
33,대전,이비가짬뽕 둔산본점,중식 > 짬뽕/탕수육,중식,대전 서구 둔산서로 51,36.3535,127.3821,300,18000,False,30,True,4.5,410,042-488-7484,https://map.kakao.com/link/search/%EC%9D%B4%EB%B9%84%EA%B0%80%EC% vitality%20%EB%91%94%EC%82%B0,""
34,대전,소소한우 둔산점,한식 > 암소한우특수부위,한식,대전 서구 둔산남로105번길 18,36.3492,127.3865,250,58000,True,25,True,4.7,280,042-472-9292,https://map.kakao.com/link/search/%EC%86%8C%EC%86%8C%ED%95%9C%EC%9A%B0%20%EB%91%94%EC%82%B0,"일"
35,대전,스시안 유성본점,일식 > 초밥/사시미코스,일식,대전 유성구 온천로 45 유성자이아파트 상가 1층,36.3552,127.3385,800,40000,True,18,True,4.5,230,042-825-9988,https://map.kakao.com/link/search/%EC%8A%A4%EC%8B%9C%EC%95%88%20%EC%9C%A0%EC%84%B1,"일"
